⺕	gri
一矢中的	jrt ci zu~ dik
一知半解	jrt zi bun gai
一石二鳥	jrt sek ji niu
一碌杉	jrt luk cam
一碗	jrt wun
一碟齋	jrt dip zai
一磚豆腐想升仙	jrt zvn dru  fu s@~ si~ sin
一神教	jrt srn gau
一神論	jrt srn l!n
一秉虔誠	jrt bi~ kin si~
一秘	jrt bei
一種	jrt zu~
一空	jrt hu~
一窩蜂	jrt wo fu~
一窮二白	jrt ku~ ji bak
一窿蛇	jrt lu~ se
一竅不通	jrt hiu brt tu~
一站式	jrt zam sik
一端	jrt dvn
一竹篙打一船人	jrt zuk gou da jrt svn jrn
一竹篙打死一船人	jrt zuk gou da sei jrt svn jrn
一竹篙揇沉一船人	jrt zuk gou nam crm jrt svn jrn
一笑了之	jrt siu liu zi
一笑置之	jrt siu zi zi
一筆不苟	jrt brt brt gru
一筆勾銷	jrt brt ~ru siu
一筆抹殺	jrt brt mut sat
一筆抹煞	jrt brt mut sat
一筆還一筆	jrt brt wan jrt brt
一等	jrt dr~
一等兵	jrt dr~ bi~
一等獎	jrt dr~ z@~
一箭之仇	jrt zin zi sru
一箭雙雕	jrt zin s@~ diu
一箭雙鵰	jrt zin s@~ diu
一箸夾中	jrt zv gap zu~
一節詩	jrt zit si
一籌莫展	jrt cru mok zin
一籮筐	jrt lo ho~
一粒嘢	jrt lrp je
一粒神	jrt nrp srn
一粒老鼠屎壞了一鍋粥	jrt lrp lou sv si wai liu jrt wo zuk
一粒花	jrt nrp fa
一系列	jrt hri lit
一紙空文	jrt zi hu~ mrn
一級	jrt krp
一級士官	jrt krp si gun
一級方程式	jrt krp fo~ ci~ sik
一級棒	jrt krp pa~
一級頭	jrt krp tru
一統	jrt tu~
一統天下	jrt tu~ tin ha
一絲一毫	jrt si jrt hou
一絲不掛	jrt si brt #a
一絲不苟	jrt si brt gru
一經	jrt gi~
一維	jrt wri
一網打盡	jrt mo~ da z!n
一線	jrt sin
一線之間	jrt sin zi gan
一線之隔	jrt sin zi gak
一線希望	jrt sin hei mo~
一線微光	jrt sin mei #o~
一總	jrt zu~
一群	jrt $rn
一而再	jrt ji zoi
一而再再而三	jrt ji zoi zoi ji sam
一聲	jrt si~
一聲不吭	jrt si~ brt hr~
一聲不響	jrt si~ brt h@~
一肚子	jrt tou zi
一肚氣	jrt tou hei
一肚皮	jrt tou pei
一股子	jrt gu zi
一股腦	jrt gu nou
一股腦兒	jrt gu nou ji
一胎制	jrt toi zri
一胎化	jrt toi fa
一脈相傳	jrt mrk s@~ cvn
一脈相承	jrt mrk s@~ si~
一腔	jrt ho~
一腳牛屎	jrt g@k ~ru si
一腳踏兩船	jrt g@k dap l@~ svn
一腳踢	jrt g@k tek
一臂之力	jrt bei zi lik
一臉茫然	jrt lim mo~ jin
一自	jrt zi
一致	jrt zi
一致字	jrt zi zi
一致性	jrt zi si~
一致性效應	jrt zi si~ hau ji~
一致資源定址器	jrt zi zi jvn di~ zi hei
一舉	jrt g!i
一舉一動	jrt g!i jrt du~
一舉兩得	jrt g!i l@~ drk
一舉成功	jrt g!i si~ gu~
一舉成名	jrt g!i si~ mi~
一舉手一投足	jrt g!i sru jrt tru zuk
一舊飯	jrt gru fan
一般	jrt bun
一般人	jrt bun jrn
一般來說	jrt bun loi svt
一般來講	jrt bun loi go~
一般原則	jrt bun jvn zrk
一般性	jrt bun si~
一般而言	jrt bun ji jin
一般見識	jrt bun gin sik
一般規定	jrt bun $ri di~
一般說來	jrt bun svt loi
一般貿易	jrt bun mru jik
一色	jrt sik
一草	jrt cou
一萬	jrt man
一落千丈	jrt lok cin z@~
一葉知秋	jrt jip zi cru
一葉障目	jrt jip z@~ muk
一著不慎滿盤皆輸	jrt z@k brt srn mun pun gai sv
一處	jrt cv
一號	jrt hou
一號木桿	jrt hou muk gon
一號電池	jrt hou din ci
一蟹不如一蟹	jrt hai brt jv jrt hai
一行	jrt hr~
一衣帶水	jrt ji dai s!i
一表人才	jrt biu jrn coi
一見傾心	jrt gin ki~ srm
一見如故	jrt gin jv gu
一見鍾情	jrt gin zu~ ci~
