⺕	gri
鱈	svt
鱈魚	svt jv
鱉甲	bit gap
鱉裙	bit $rn
鱒魚	zvn jv
鱔魚	sin jv
鱖魚	kvt jv
鱗	l!n
鱗傷	l!n s@~
鱗喉綠啄木鳥	l!n hru luk d@k muk niu
鱗次櫛比	l!n ci zit bei
鱗爪	l!n zau
鱗片	l!n pin
鱗狀	l!n zo~
鱗狀細胞癌	l!n zo~ sri bau ~am
鱗甲	l!n gap
鱗翅	l!n ci
鱗翅目	l!n ci muk
鱗胸鷦鶥	l!n hu~ ziu mei
鱗腹綠啄木鳥	l!n fuk luk d@k muk niu
鱗莖	l!n gi~
鱗頭樹鶯	l!n tru sv r~
鱘魚	crm jv
鱝	frn
鱟魚	hru jv
鱠魚	kui jv
鱧魚	lri jv
鱯	wu
鱲	lip
鱷	~ok
鱷梨	~ok lei
鱷蜥	~ok sik
鱷魚	~ok jv
鱷魚夾	~ok jv gap
鱷魚淚	~ok jv l!i
鱷魚潭	~ok jv tam
鱷魚眼淚	~ok jv ~an l!i
鱷魚頭	~ok jv tru
鱷魚頭老襯底	~ok jv tru lou crn dri
鱷龍	~ok lu~
鱸	lou
鱸魚	lou jv
鲅魚圈區	brt jv hvn k!i
鳥	niu
鳥不拉屎雞不生蛋	niu brt lai si gri brt sr~ dan
鳥不生蛋	niu brt sa~ dan
鳥不生蛋狗不拉屎	niu brt sr~ dan gru brt lai si
鳥事	niu si
鳥人	niu jrn
鳥兒	niu ji
鳥取縣	niu c!i jvn
鳥嘌呤	niu piu li~
鳥嘴	niu z!i
鳥屋	niu uk
鳥巢	niu cau
鳥擊	niu gik
鳥松	niu cu~
鳥松鄉	niu cu~ h@~
鳥槍	niu c@~
鳥槍換炮	niu c@~ wun pau
鳥機	niu gei
鳥澡盆	niu cou pun
鳥獸	niu sru
鳥獸散	niu sru san
鳥疫	niu jik
鳥疫衣原體	niu jik ji jvn tri
鳥盡弓藏	niu z!n gu~ co~
鳥眼	niu ~an
鳥眼紋	niu ~an mrn
鳥瞰	niu hrm
鳥瞰圖	niu hrm tou
鳥禽	niu krm
鳥窩	niu wo
鳥篆	niu svn
鳥籠	niu lu~
鳥糞	niu frn
鳥羽	niu jv
鳥胺酸	niu on svn
鳥腳下目	niu g@k ha muk
鳥腳亞目	niu g@k a muk
鳥苷酸二鈉	niu grm svn ji nap
鳥蟲書	niu cu~ sv
鳥語花香	niu jv fa h@~
鳥道	niu dou
鳥銃	niu cu~
鳥雀	niu z@k
鳥類	niu l!i
鳥類學	niu l!i hok
鳥鳴	niu mi~
鳧	fu
鳧翁	fu ju~
鳧茈	fu ci
鳩	gru
鳩合	gru hrp
鳩嗚	gru wu
鳩屎	gru si
鳩山	gru san
鳩山由紀夫	gru san jru gei fu
鳩摩羅什	gru mo lo srp
鳩江	gru go~
鳩江區	gru go~ k!i
鳩集	gru zap
鳩鴿	kru gap
鳯凰	fun wo~
鳳	fu~
鳳仙花	fu~ sin fa
鳳凰	fu~ wo~
鳳凰古城	fu~ wo~ gu si~
鳳凰城	fu~ wo~ si~
鳳凰山	fu~ wo~ san
鳳凰座	fu~ wo~ zo
鳳凰木	fu~ wo~ muk
鳳凰樹	fu~ wo~ sv
鳳凰縣	fu~ wo~ jvn
鳳凰號	fu~ wo~ hou
鳳凰衛視	fu~ wo~ wri si
鳳台	fu~ toi
鳳台縣	fu~ toi jvn
鳳城	fu~ si~
鳳城市	fu~ si~ si
鳳姐	fu~ ze
鳳尾魚	fu~ mei jv
鳳山	fu~ san
鳳山市	fu~ san si
鳳山縣	fu~ san jvn
鳳岡	fu~ go~
鳳岡縣	fu~ go~ jvn
鳳慶	fu~ hi~
鳳慶縣	fu~ hi~ jvn
鳳林	fu~ lrm
鳳林鎮	fu~ lrm zrn
鳳梨	fu~ lei
鳳梨園	fu~ lei jvn
鳳梨酥	fu~ lei sou
鳳毛麟角	fu~ mou l!n gok
鳳泉	fu~ cvn
鳳泉區	fu~ cvn k!i
鳳爪	fu~ zau
鳳眼	fu~ ~an
鳳眼蘭	fu~ ~an lan
鳳竇	fu~ dru
鳳縣	fu~ jvn
鳳翔	fu~ c@~
鳳翔縣	fu~ c@~ jvn
鳳蝶科	fu~ dip fo
鳳陽	fu~ j@~
鳳陽縣	fu~ j@~ jvn
鳳頭樹燕	fu~ tru sv jin
鳳頭潛鴨	fu~ tru cim ap
鳳頭百靈	fu~ tru bak li~
鳳頭蜂鷹	fu~ tru fu~ ji~
鳳頭雀嘴鵯	fu~ tru z@k z!i bei
鳳頭雀鶯	fu~ tru z@k r~
鳳頭鵐	fu~ tru mou
鳳頭鷹	fu~ tru ji~
鳳頭鷹雕	fu~ tru ji~ diu
鳳頭鷿鷈	fu~ tru pik tri
鳳頭鸚鵡	fu~ tru ji~ mou
鳳頭麥雞	fu~ tru mrk gri
鳴	mi~
鳴不平	mi~ brt pi~
鳴冤叫屈	mi~ jvn giu wrt
鳴叫	mi~ giu
鳴槍	mi~ c@~
鳴禽	mi~ krm
鳴笛	mi~ dek
鳴角鴞	mi~ gok hiu
鳴謝	mi~ ze
鳴金	mi~ grm
鳴金收兵	mi~ grm sru bi~
鳴金收軍	mi~ grm sru #rn
鳴鐘	mi~ zu~
鳴鑼	mi~ lo
鳴鑼開道	mi~ lo hoi dou
鳴鳥	mi~ niu
鳴鳩	mi~ kru
鳶尾	jvn mei
鳶尾花	jvn mei fa
鳾	si
鴆毒	zrm duk
鴆羽	zrm jv
鴆酒	zrm zru
鴇母	bou mou
鴉	a
鴉嘴卷尾	a z!i gvn mei
鴉片	a pin
鴉片戰爭	a pin zin zr~
鴉雀無聲	a z@k mou si~
鴕	to
鴕鳥	to niu
鴕鳥政策	to niu zi~ cak
鴛	jvn
鴛盟	jvn mr~
鴛綺	jvn ji
鴛鴦	jvn j@~
鴛鴦戲水	jvn j@~ hei s!i
鴛鴦蝴蝶	jvn j@~ wu dip
鴛鴦蝴蝶派	jvn j@~ wu dip pai
鴛鴦襪	jvn j@~ mrt
鴛鴦鍋	jvn j@~ wo
鴛鴦門	jvn j@~ mun
鴝姬鶲	k!i gei ju~
鴝岩鷚	k!i ~am lru
鴝蝗鶯	k!i wo~ r~
鴝鵒	k!i juk
鴞叫	hiu giu
鴞鸚鵡	hiu ji~ mou
鴟梟	ci hiu
鴟甍	ci mr~
鴟鴞	ci hiu
鴟鵂	ci jru
鴦	j@~
鴨	ap
鴨乸蹄	ap na tri
鴨仔	ap zri
鴨仔團	ap zri tvn
鴨仔蛋	ap zri dan
鴨咀帽	ap z!i mou
鴨嘴帽	ap z!i mou
鴨嘴梨	ap z!i lei
鴨嘴獸	ap z!i sru
鴨嘴龍	ap z!i lu~
鴨子	ap zi
鴨子兒	ap zi ji
鴨子湯	ap zi to~
鴨寮街	ap liu gai
鴨巴甸	ap ba din
鴨店	ap dim
鴨掌	ap z@~
鴨梨	ap lei
鴨洲	ap zru
鴨絨	ap ju~ 
鴨綠江	ap luk go~
鴨肉	ap juk
鴨脷	ap lei
鴨脷洲	ap lei zru
鴨腎	ap srn
鴨腳	ap g@k
鴨腳扎	ap g@k zat
鴨舌帽	ap sit mou
鴨蛋	ap dan
鴨蛋青	ap dan ce~
鴯鶓	ji miu
鴴科	hr~ fo
鴻	hu~
鴻圖	hu~ tou
鴻圖大計	hu~ tou dai gri
鴻圖窩麵	hu~ tou wo min
鴻毛	hu~ mou
鴻毛泰山	hu~ mou tai san
鴻毛泰岱	hu~ mou tai doi
鴻海	hu~ hoi
鴻溝	hu~ kru
鴻福	hu~ fuk
鴻章	hu~ z@~
鴻運	hu~ wrn
鴻運扇	hu~ wrn sin
鴻門宴	hu~ mun jin
鴻雁	hu~ ~an
鴻鵠	hu~ huk
鴻鵠之志	hu~ huk zi zi
鴿	grp
鴿子	grp zi
鴿房	gap fo~
鴿派	gap pai
鵁	gau
鵂鶹	jru lru
鵃	zru
鵑	gvn
鵑形目	gvn ji~ muk
鵓鴿	but gap
鵖鴔	gip fuk
鵜鶘	tri wu
鵝	~o
鵝公喉	~o gu~ hru
鵝卵石	~o l!n sek
鵝喉羚	~o hru li~
鵝掌楸	~o z@~ cru
鵝春形	~o c!n ji~
鵝春石	~o c!n sek
鵝毛	~o mou
鵝毛大雪	~o mou dai svt
鵝絨	~o ju~
鵝肝	~o gon
鵝膏蕈	~o gou crm
鵝膏蕈素	~o gou crm sou
鵝莓	~o mui
鵝蛋形	~o dan ji~
鵝行鴨步	~o hr~ ap bou
鵝鑾鼻	~o lvn bei
鵝黃	~o wo~
鵠候	huk hru
鵠望	huk mo~
鵠的	guk dik
鵠立	huk lrp
鵡	mou
鵪	rm
鵪鶉	rm c!n
鵪鶉蛋	rm s!n dan
鵬摶	pa~ tvn
鵬程萬里	pa~ ci~ man lei
鵬飛	pa~ fei
鵬鳥	pa~ niu
鵰	diu
鵰具座	diu g!i zo
鵰鴞	diu hiu
鵲	z@k
鵲報	c@k bou
鵲局	z@k guk
鵲巢鳩佔	c@k cau kru zim
鵲橋	z@k kiu
鵲色鸝	z@k sik lei
鵲鴝	c@k k!i
鵲鴨	z@k ap
鵲鷂	z@k jiu
鵷	jvn
鵾弦	$rn jin
鵾雞	$rn gri
鵾雞曲	$rn gri kuk
鶇	du~
鶉	c!n
鶖鷺	cru lou
鶗鴂	tri kvt
鶗鴃	tri kvt
鶡	hot
鶩舲	mou li~
鶬鶊	co~ gr~
鶯	r~
鶯歌	r~ go
鶯歌燕舞	r~ go jin mou
鶯歌鎮	r~ go zrn
鶯鳥	r~ niu
鶱	hin
鶴	hok
鶴佬人	hok lou jrn
鶴俸	hok fu~
鶴嘴	hok z!i
鶴嘴鋤	hok z!i co
鶴城	hok si~
鶴城區	hok si~ k!i
鶴壁	hok bik
鶴壁市	hok bik si
鶴山	hok san
鶴山區	hok san k!i
鶴山市	hok san si
鶴峰	hok fu~
鶴峰縣	hok fu~ jvn
鶴崗	hok go~
鶴崗市	hok go~ si
鶴慶	hok hi~
鶴慶縣	hok hi~ jvn
鶴洞大橋	hok du~ dai kiu
鶴立雞群	hok lap gri $rn
鶴絨	hok ju~
鶴髮童顏	hok fat tu~ ~an
鶴鷸	hok wrt
鶺鴒	zik li~
鶻	#rt
鶻突	wrt drt
鶼鰈	gim dip
鶼鰈情深	gim dip ci~ srm
鶼鶼	gim gim
鷁	jik
鷂鱝	jiu frn
鷂鷹	jiu ji~
鷇	kru
鷓鴣	ze gu
鷗嘴噪鷗	ru z!i cou ru
鷦鷯	ziu liu
鷫鸘	suk s@~
鷯哥	liu go
鷲	zru
鷲科	zru fo
鷲鳥	zru niu
鷸蚌相爭	wrt po~ s@~ zr~
鷸蚌相爭漁翁得利	wrt po~ s@~ zr~ jv ju~ drk lei
鷹	ji~
鷹嘴豆	ji~ z!i dru
鷹嘴豆麵粉	ji~ z!i dru min frn
鷹手營子礦	ji~ sru ji~ zi $o~
鷹手營子礦區	ji~ sru ji~ zi $o~ k!i
鷹擊長空	ji~ gik c@~ hu~
鷹星雲	ji~ si~ wrn
鷹架	ji~ ga
鷹架棧臺	ji~ ga zan toi
鷹派	ji~ pai
鷹潭	ji~ tam
鷹潭市	ji~ tam si
鷹爪	ji~ zau
鷹爪翻子拳	ji~ zau fan zi kvn
鷹犬	ji~ hvn
鷹狀星雲	ji~ zo~ si~ wrn
鷹粟粉	ji~ suk frn
鷹鉤鼻	ji~ ~ru bei
鷹雕	ji~ diu
鷹頭獅	ji~ tru si
鷹鴞	ji~ hiu
鷹鵑	ji~ gvn
鷺鷥	lou si
鷿鷈	pik tai
鸂鶒	kri cik
鸊鷉	pik tri
鸏	mu~
鸕鶿	lou ci
鸚	ji~
鸚哥鼻	ji~ go bei
鸚鵡	ji~ mou
鸚鵡學舌	ji~ mou hok sit
鸚鵡熱	ji~ mou jit
鸚鵡螺	ji~ mou lo
鸛嘴翡翠	gun z!i fei c!i
鸛鳥	gun niu
鸞翔鳳翥	lvn c@~ fu~ zv
鸞翔鳳集	lvn c@~ fu~ zap
鸞飄鳳泊	lvn piu fu~ bok
鸞鳳	lvn fu~
鸞鳳和鳴	lvn fu~ wo mi~
鹵	lou
鹵代烴	lou doi ti~
鹵化	lou fa
鹵化物	lou fa mrt
鹵化銀	lou fa ~rn
鹵味	lou mei
鹵屬	lou suk
鹵族	lou zuk
鹵水	lou s!i
鹵水鴨	lou s!i ap
鹵田	lou tin
鹵素	lou sou
鹵素燈	lou sou dr~
鹵莽	lou mo~
鹵質	lou zrt
鹹	ham
鹹味	ham mei
鹹帶	ham dai
鹹書	ham sv
鹹水	ham s!i
鹹水埠	ham s!i fru
鹹水妹	ham s!i mui
鹹水樓	ham s!i lru
鹹水歌	ham s!i go
鹹水湖	ham s!i wu
鹹水草	ham s!i cou
鹹水角	ham s!i gok
鹹水話	ham s!i wa
鹹水魚	ham s!i jv
鹹津津	ham z!n z!n
鹹津津兒	ham z!n z!n ji
鹹海	ham hoi
鹹淡	ham tam
鹹淡水	ham tam s!i
鹹澀	ham gip
鹹濕	ham srp
鹹濕佬	ham srp lou
鹹濕片	ham srp pin
鹹濕鬼	ham srp #ri
鹹煎餅	ham zin be~
鹹片	ham pin
鹹粒	ham nrp
鹹絲絲	ham si si
鹹絲絲兒	ham si si ji
鹹肉	ham juk
鹹肉粽	ham juk zu~
鹹脆花生	ham c!i fa sr~
鹹臭	ham cru
鹹苦	ham fu
鹹菜	ham coi
鹹蛋	ham dan
鹹蝦	ham ha
鹹蝦燦	ham ha can
鹹蟲	ham cu~
鹹豬手	ham zv sru
鹹赧赧	ham nan nan
鹹酥雞	ham sou gri
鹹酸	ham svn
鹹酸菜	ham svn coi
鹹鏡南道	ham ge~ nam dou
鹹餸	ham su~
鹹魚	ham jv
鹹魚白菜	ham jv bak coi
鹹魚翻生	ham jv fan sa~
鹹魚翻身	ham jv fan srn
鹹鴨蛋	ham ap dan
鹹鹹地	ham ham dei
鹹鹹臭臭	ham ham cru cru
鹹鹽	ham jim
鹹龍	ham lu~
鹼	gan
鹼化	gan fa
鹼土	gan tou
鹼土金屬	gan tou grm suk
鹼基	gan gei
鹼基互補配對	gan gei wu bou pui d!i
鹼基對	gan gei d!i
鹼基配對	gan gei pui d!i
鹼度	gan dou
鹼式鹽	gan sik jim
鹼性	gan si~
鹼性土	gan si~ tou
鹼性塵霧	gan si~ crn mou
鹼性巖	gan si~ ~am
鹼性藍	gan si~ lam
鹼性金屬	gan si~ grm suk
鹼斑	gan ban
鹼水粽	gan s!i zu~
鹼法紙漿	gan fat zi z@~
鹼腺	gan sin
鹼荒	gan fo~
鹼試法	gan si fat
鹼金屬	gan grm suk
鹽	jim
鹽井	jim ze~
鹽井縣	jim ze~ jvn
鹽井鄉	jim ze~ h@~
鹽亭	jim ti~
鹽亭縣	jim ti~ jvn
鹽倉土地	jim co~ tou dei
鹽坨子	jim to zi
鹽城	jim si~
鹽城市	jim si~ si
鹽埔	jim bou
鹽埔鄉	jim bou h@~
鹽埕	jim ci~
鹽埕區	jim ci~ k!i
鹽基	jim gei
鹽場	jim c@~
鹽山	jim san
鹽山縣	jim san jvn
鹽巴	jim ba
鹽度	jim dou
鹽成土	jim si~ tou
鹽梟	jim hiu
鹽業	jim jip
鹽步	jim bou
鹽水	jim s!i
鹽水鎮	jim s!i zrn
鹽池	jim ci
鹽池縣	jim ci jvn
鹽津	jim z!n
鹽津縣	jim z!n jvn
鹽湖	jim wu
鹽湖區	jim wu k!i
鹽湖城	jim wu si~
鹽源	jim jvn
鹽源縣	jim jvn jvn
鹽滷	jim lou
鹽灘	jim tan
鹽焗雞	jim guk gri
鹽田	jim tin
鹽田區	jim tin k!i
鹽皮質類固醇	jim pei zrt l!i gu s!n
鹽膚木	jim fu muk
鹽花	jim fa
鹽蛇	jim se
鹽邊	jim bin
鹽邊縣	jim bin jvn
鹽都	jim dou
鹽都區	jim dou k!i
鹽酸	jim svn
鹽酸克侖特羅	jim svn hrk l!n drk lo
鹽酸鹽	jim svn jim
鹽鹵	jim lou
鹽鹼	jim gan
鹽鹼地	jim gan dei
鹽鹼濕地	jim gan srp dei
鹿	luk
鹿兒島	luk ji dou
鹿兒島縣	luk ji dou jvn
鹿城	luk si~
鹿城區	luk si~ k!i
鹿寨	luk zai
鹿寨縣	luk zai jvn
鹿死誰手	luk sei s!i sru
鹿泉	luk cvn
鹿泉市	luk cvn si
鹿港	luk go~
鹿港鎮	luk go~ zrn
鹿特丹	luk drk dan
鹿皮靴	luk pei h@
鹿肉	luk juk
鹿苑寺	luk jvn zi
鹿茸	luk ju~
鹿草	luk cou
鹿草鄉	luk cou h@~
鹿角	luk gok
鹿谷	luk guk
鹿谷鄉	luk guk h@~
鹿豹座	luk pau zo
鹿邑	luk jrp
鹿邑縣	luk jrp jvn
鹿野	luk je
鹿野鄉	luk je h@~
鹿頸	luk ge~
麂皮	gei pei
麇集	$rn zap
麈	zv
麋鹿	mei luk
麒	kei
麒麟	kei l!n
麒麟區	kei l!n k!i
麒麟座	kei l!n zo
麒麟菜	kei l!n coi
麗	lri
麗佳娜	lri gai na
麗實	lri srt
麗日	lri jrt
麗星噪鶥	lri si~ cou mei
麗星鷯鶥	lri si~ liu mei
麗水	lri s!i
麗水地區	lri s!i dei k!i
麗水市	lri s!i si
麗江	lri go~
麗江古城	lri go~ gu si~
麗江地區	lri go~ dei k!i
麗江市	lri go~ si
麗江納西族自治縣	lri go~ nap sri zuk zi zi jvn
麗池卡登	lri ci ka dr~
麗緻	lri zi
麗色噪鶥	lri sik cou mei
麗色奇鶥	lri sik kei mei
麗詞	lri ci
麗語	lri jv
麗質	lri zrt
麗辭	lri ci
麗魄	lri pak
麗鳾	lri si
麗麗	lri lri
麝	se
麝牛	se ~ru
麝香	se h@~
麝香石竹	se h@~ sek zuk
麝香草	se h@~ cou
麝鼠	se sv
麟	l!n
麟洛	l!n lok
麟洛鄉	l!n lok h@~
麟經	l!n gi~
麟角鳳觜	l!n gok fu~ z!i
麟遊	l!n jru
麟遊縣	l!n jru jvn
麥	mrk
麥乳精	mrk jv zi~
麥克	mrk hrk
麥克德莫特	mrk hrk drk mok drk
麥克斯韋	mrk hrk si wri
麥克白	mrk hrk bak
麥克白夫人	mrk hrk bak fu jrn
麥克筆	mrk hrk brt
麥克米蘭	mrk hrk mri lan
麥克維	mrk hrk wri
麥克阿瑟	mrk hrk a srt
麥克風	mrk hrk fu~
麥兜	mrk dru
麥凱恩	mrk hoi jrn
麥加	mrk ga
麥可	mrk ho
麥司卡林	mrk si ka lrm
麥哲倫	mrk zit l!n
麥嘜	mrk mrk
麥地那	mrk dei na
麥子	mrk zi
麥寮	mrk liu
麥寮鄉	mrk liu h@~
麥德林	mrk drk lrm
麥德蒙	mrk drk mu~
麥德龍	mrk drk lu~
麥枷	mrk ga
麥氏賊鷗	mrk si cak ru
麥浚龍	mrk z!n lu~
麥淇淋	mrk kei lrm
麥爾維爾	mrk ji wri ji
麥片	mrk pin
麥理浩	mrk lei hou
麥理浩爵士	mrk lei hou z@k si
麥田怪圈	mrk tin #ai hvn
麥當勞	mrk do~ lou
麥當勞叔叔	mrk do~ lou suk suk
麥當勞道	mrk do~ lou dou
麥當娜	mrk do~ na
麥當當	mrk do~ do~
麥皮	mrk pei
麥秋	mrk cru
麥科里	mrk fo lei
麥秸	mrk gai
麥稃	mrk fu
麥積	mrk zik
麥積區	mrk zik k!i
麥積山石窟	mrk zik san sek frt
麥穗	mrk s!i
麥粉	mrk frn
麥粒腫	mrk lrp zu~
麥精	mrk zi~
麥糠	mrk ho~
麥納瑪	mrk nap ma
麥納麥	mrk nap mrk
麥肯錫	mrk hr~ sek
麥胚	mrk pui
麥芽	mrk ~a
麥芽糊精	mrk ~a wu zi~
麥芽糖	mrk ~a to~
麥芽糖醇	mrk ~a to~ s!n
麥蓋提	mrk goi tri
麥蓋提縣	mrk goi tri jvn
麥角	mrk gok
麥記	mrk gei
麥豆	mrk dru
麥迪	mrk dik
麥迪遜	mrk dik s!n
麥迪遜廣場花園	mrk dik s!n #o~ c@~ fa jvn
麥迪遜花園廣場	mrk dik s!n fa jvn #o~ c@~
麥道	mrk dou
麥邊	mrk bin
麥酒	mrk zru
麥金塔	mrk grm tap
麥金塔電腦	mrk grm tap din nou
麥阿密	mrk a mrt
麥霸	mrk ba
麥香堡	mrk h@~ bou
麥麥送	mrk mrk su~
麥麩	mrk fu
麩	fu
麩皮	fu pei
麩皮麵包	fu pei min bau
麩質	fu zrt
麪包	min bau
麪條	min tiu
麪粉	min frn
麪豉	min si
麪食	min sik
麰	mru
麴	kuk
麵	min
麵人兒	min jrn ji
麵包	min bau
麵包屑	min bau sit
麵包師傅	min bau si fu
麵包店	min bau dim
麵包心	min bau srm
麵包房	min bau fo~
麵包果	min bau #o
麵包樹	min bau sv
麵包渣	min bau za
麵包片	min bau pin
麵包皮	min bau pei
麵包糠	min bau ho~
麵包舖	min bau pou
麵包車	min bau ce
麵團	min tvn
麵塑	min sou
麵板	min ban
麵條	min tiu
麵條兒	min tiu ji
麵檔	min do~
麵湯	min to~
麵疙瘩	min grt dap
麵的	min dik
麵皮	min pei
麵窩	min wo
麵筋	min grn
麵粉	min frn
麵粉公仔	min frn gu~ zri
麵糊	min wu
麵線	min sin
麵肥	min fei
麵豉	min si
麵豉醬	min si z@~
麵青青	min ce~ ce~
麵類	min l!i
麵食	min sik
麵餅	min be~
麵點	min dim
麻	ma
麻俐	ma lei
麻利	ma lei
麻力	ma lik
麻叻	ma lrk
麻吉	ma grt
麻嗖嗖	ma sru sru
麻城	ma si~
麻城市	ma si~ si
麻婆豆腐	ma po dru fu
麻子	ma zi
麻將	ma z@~
麻將牌	ma z@~ pai
麻山	ma san
麻山區	ma san k!i
麻州	ma zru
麻布	ma bou
麻木	ma muk
麻木不仁	ma muk brt jrn
麻查	ma ca
麻栗坡	ma l!t bo
麻栗坡縣	ma l!t bo jvn
麻櫟	ma lik
麻江	ma go~
麻江縣	ma go~ jvn
麻油	ma jru
麻煩	ma fan
麻煩你	ma fan nei
麻瓜	ma #a
麻生	ma sr~
麻生太郎	ma sr~ tai lo~
麻甩	ma lrt
麻甩仔	ma lrt zri
麻甩佬	ma lrt lou
麻疹	ma crn
麻痺	ma bei
麻痺大意	ma bei dai ji
麻瘋	ma fu~
麻瘢	ma ban
麻省	ma sa~
麻省理工學院	ma sa~ lei gu~ hok jvn
麻石	ma sek
麻章	ma z@~
麻章區	ma z@~ k!i
麻糬	ma sv
麻紗	ma sa
麻絮	ma s!i
麻繩	ma si~
麻纏	ma cin
麻臉	ma lim
麻花	ma fa
麻花辮	ma fa bin
麻莖	ma gi~
麻藥	ma j@k
麻衣	ma ji
麻袋	ma doi
麻豆	ma dru
麻豆鎮	ma dru zrn
麻辣	ma lat
麻辣燙	ma lat to~
麻醉	ma z!i
麻醉劑	ma z!i zri
麻醉學	ma z!i hok
麻醉學者	ma z!i hok ze
麻醉師	ma z!i si
麻醉狀態	ma z!i zo~ tai
麻醉藥	ma z!i j@k
麻醉藥品	ma z!i j@k brn
麻醬	ma z@~
麻陽	ma j@~
麻陽縣	ma j@~ jvn
麻陽苗族自治縣	ma j@~ miu zuk zi zi jvn
麻雀	ma z@k
麻雀腳	ma z@k g@k
麻雀雖小五臟俱全	ma z@k s!i siu ~ zo~ k!i cvn
麻雀館	ma z@k gun
麻類	ma l!i
麻風	ma fu~
麻風病	ma fu~ be~
麻骨枴杖	ma #rt #ai z@~
麻鷹	ma ji~
麻鷹捉雞仔	ma ji~ zuk gri zri
麻麻	ma ma
麻麻亮	ma ma l@~
麻麻哋	ma ma dei
麻麻地	ma ma dei
麻黃	ma wo~
麻黃素	ma wo~ sou
麻黃鹼	ma wo~ gan
麼	mo
麼麼	mo mo
麾下	fri ha
麾軍	fri #rn
黃	wo~
黃䘆	wo~ hin
黃不溜秋	wo~ brt lru cru
黃以靜	wo~ ji zi~
黃伊汶	wo~ ji mrn
黃信	wo~ s!n
黃光裕	wo~ #o~ jv
黃克強	wo~ hrk k@~
黃冠啄木鳥	wo~ gun d@k muk niu
黃包車	wo~ bau ce
黃南	wo~ nam
黃南州	wo~ nam zru
黃南藏族自治州	wo~ nam zo~ zuk zi zi zru
黃原膠	wo~ jvn gau
黃原酸鹽	wo~ jvn svn jim
黃品冠	wo~ brn gun
黃喉噪鶥	wo~ hru cou mei
黃喉蜂虎	wo~ hru fu~ fu
黃喉雀鶥	wo~ hru z@k mei
黃喉鵐	wo~ hru mou
黃嘌呤	wo~ piu li~
黃嘴山鴉	wo~ z!i san a
黃嘴朱頂雀	wo~ z!i zv de~ z@k
黃嘴栗啄木鳥	wo~ z!i l!t d@k muk niu
黃嘴河燕鷗	wo~ z!i ho jin ru
黃嘴潛鳥	wo~ z!i cim niu
黃嘴白鷺	wo~ z!i bak lou
黃嘴藍鵲	wo~ z!i lam z@k
黃嘴角鴞	wo~ z!i gok hiu
黃土	wo~ tou
黃土不露天	wo~ tou brt lou tin
黃土地	wo~ tou dei
黃土地貌	wo~ tou dei mau
黃土高原	wo~ tou gou jvn
黃埔	wo~ bou
黃埔區	wo~ bou k!i
黃埔大道	wo~ bou dai dou
黃埔花園	wo~ bou fa jvn
黃埔軍校	wo~ bou #rn hau
黃大仙	wo~ dai sin
黃大仙區	wo~ dai sin k!i
黃大仙廟	wo~ dai sin miu
黃子華	wo~ zi wa
黃宗澤	wo~ zu~ zak
黃宗羲	wo~ zu~ hei
黃家駒	wo~ ga k!i
黃富平	wo~ fu pi~
黃山	wo~ san
黃山區	wo~ san k!i
黃山市	wo~ san si
黃岡	wo~ go~
黃岡市	wo~ go~ si
黃岩	wo~ ~am
黃岩區	wo~ ~am k!i
黃岩島	wo~ ~am dou
黃島	wo~ dou
黃島區	wo~ dou k!i
黃州	wo~ zru
黃州區	wo~ zru k!i
黃巢	wo~ cau
黃巢之亂	wo~ cau zi lvn
黃巢起義	wo~ cau hei ji
黃巾	wo~ grn
黃巾之亂	wo~ grn zi lvn
黃巾民變	wo~ grn mrn bin
黃巾起義	wo~ grn hei ji
黃巾軍	wo~ grn #rn
黃帝	wo~ dri
黃帝內經	wo~ dri noi gi~
黃帝八十一難經	wo~ dri bat srp jrt nan gi~
黃帝宅經	wo~ dri zak gi~
黃帝族	wo~ dri zuk
黃平	wo~ pi~
黃平縣	wo~ pi~ jvn
黃庭堅	wo~ ti~ gin
黃庭經	wo~ ti~ gi~
黃建南	wo~ gin nam
黃忠	wo~ zu~
黃教	wo~ gau
黃斑	wo~ ban
黃昏	wo~ frn
黃昏戀	wo~ frn lvn
黃曲霉	wo~ kuk mui
黃曲霉毒素	wo~ kuk mui duk sou
黃曲霉菌	wo~ kuk mui $rn
黃書	wo~ sv
黃朝百晏	wo~ ziu bak ~an
黃果樹大瀑布	wo~ #o sv dai buk bou
黃果樹瀑布	wo~ #o sv buk bou
黃柏	wo~ pak
黃梅	wo~ mui
黃梅戲	wo~ mui hei
黃梅縣	wo~ mui jvn
黃梨	wo~ lei
黃檗	wo~ bak
黃毓民	wo~ juk mrn
黃毛丫頭	wo~ mou a tru
黃水	wo~ s!i
黃水晶	wo~ s!i zi~
黃河	wo~ ho
黃河大合唱	wo~ ho dai hrp c@~
黃河流域	wo~ ho lru wik
黃油	wo~ jru
黃泉	wo~ cvn
黃泡仔	wo~ pau zri
黃泡髧熟	wo~ pau drm suk
黃泥	wo~ nri
黃洋達	wo~ j@~ dat
黃流	wo~ lru
黃流鎮	wo~ lru zrn
黃浦	wo~ pou
黃浦區	wo~ pou k!i
黃浦江	wo~ pou go~
黃海	wo~ hoi
黃海北道	wo~ hoi brk dou
黃海南道	wo~ hoi nam dou
黃海道	wo~ hoi dou
黃滔	wo~ tou
黃漂	wo~ piu
黃澄澄	wo~ ci~ ci~
黃炎貴胄	wo~ jim #ri zru
