㧎	ya:2 ya:4 qx:1
㧏	gh:1
㧐	ss:3
㧑	hv:1
㧒	yu:4
㧓	gx:1
㧔	gy:4
㧕	lq:3
㧖	ee:4
㧗	zi:3 ji:3 vi:3
㧘	zi:4
㧙	bi:4 bp:2
㧚	wa:3
㧜	lp:4
㧟	ky:3
㧡	hj:4 ww:4
㧢	yn:1
㧣	vu:1
㧤	is:4
㧥	xm:3
㧦	xr:4 has
㧨	qq:2
㧩	pw:4
㧪	gv:3 ww:3
㧫	er:2 rr:2 rv:2
㧬	gs:3
㧭	qs:2
㧮	hu:1
㧯	lk:3
㧰	li:4
㧱	if:4
㧲	sj:3
㧳	vo:4 bd:1
㧴	wo:3 ee:2
㧵	pz:2
㧶	kg:1
㧷	tb:4
㧸	pg:1
㧹	te:4
㧺	ta:4
㧻	vo:2 zu:2 du:1
㧼	bc:4
㧽	gu:4
㧾	hu:1
㨀	by:3
㨁	vi:4 vi:2
㨂	ds:3
㨃	dv:3 ig:2
㨄	vz:1 vk:4 tc:2
㨅	nw:4 rv:4
㨆	ln:3
㨇	po:2
㨈	ji:3
㨉	mn:2 wf:3
㨊	ww:3 to:3 do:4
㨋	ie:3
㨌	gz:4
㨍	bh:1
㨎	ru:2
㨏	tj:1
㨐	bu:3
㨑	zs:1
㨒	kv:1
㨓	lk:2
㨔	hj:4
㨕	yy:2
㨖	vi:4
㨗	jp:2
㨘	xy:3
㨙	xp:2 xi:4
㨚	xb:2 sb:3
㨛	uj:3 uj:4
㨜	qm:2
㨝	xp:1
㨞	su:4
㨟	hj:1
㨠	mi:4
㨡	hb:2
㨢	pi:1
㨤	hv:4
㨥	na:4
㨦	ss:3
㨧	bf:4
㨨	iz:1 lq:4
㨩	jp:2
㨪	hl:4 hl:3
㨫	lj:3
㨭	hu:4
㨮	dz:1
㨯	ho:4
㨰	gb:3
㨱	yk:2
㨲	ce:4
㨳	gv:3 ji:4
㨴	jm:4
㨵	jm:3
㨶	dk:3
㨷	jn:4
㨸	ma:4
㨹	hv:4 xt:3
㨺	mm:3 mf:2
㨻	cj:2 uj:3 zj:4 ij:4
㨼	ly:4
㨽	pi:4
㨾	yh:4
㨿	ju:4
㩀	ju:4
㩁	qt:4
㩃	qm:1
㩄	ud:1
㩆	jq:4 zu:2
㩇	ho:4 zo:2 hx:2
㩈	yb:3
㩉	da:2 la:1 xi:1 xp:2
㩊	xr:1
㩋	xc:1 su:4
㩌	fw:4
㩍	ce:4
