#level1
柏	bdmb
盆	pfmb
粕	pomb
糞	ffmb
村	cymc
械	xpmc
樽	zymc
柑	gjmc
闘	iumc
梼	tcmc
梼	izmc
梼	dcmc
樹	uumc
模	mumd
模	momd
梅	mwmd
杯	bwmd
梁	llmd
盗	dcmd
粉	ffmd
染	rjmd
桃	tcmd
朴	pumd
朴	pomd
朴	pnmd
渠	qumd
杓	ucmd
杓	bnmd
桁	hhmd
桁	hgmd
檎	qbmd
関	grmd
柊	vsmd
栴	vjmd
桟	vjmd
棟	dsmd
楽	lwmd
楽	ytmd
楽	lemd
様	yhmd
欄	ljmd
柳	lqme
榔	lhme
聞	wfme
櫛	vime
校	xnmf
校	jnmf
椎	vvmf
椎	ivmf
楓	fgmf
権	qrmf
盛	ugmg
盛	igmg
盈	ykmg
栽	zdmg
朽	xqmg
粥	vzmg
樗	iumg
閥	famg
梨	limh
樵	qnmh
榛	vfmh
騒	scmi
机	jimj
断	drmj
析	ximj
棉	mmmj
杭	hhmj
柿	uimj
機	jimj
格	gemk
椅	yimk
枯	kumk
棺	grmk
桐	tsmk
杏	xkmk
梧	wumk
粘	vjmk
粘	nmmk
糖	thmk
橘	jumk
桔	jumk
桔	jpmk
問	wfmk
開	kdmk
閣	gemk
閤	hemk
閤	gemk
駒	jumk
騎	qimk
槍	qlmk
橋	qnmk
監	jmmk
架	jxml
粒	liml
駕	jxml
林	lbmm
森	sfmm
閑	xmmm
梱	kymm
櫨	lumm
根	gfmn
楼	lzmn
柄	bkmn
杖	vhmn
株	vumn
橡	xlmn
梗	ggmn
糠	khmn
駅	yimn
験	yjmn
桜	ykmn
棲	ximn
棲	qimn
検	jmmn
相	xlmo
精	jkmo
盟	mgmo
糊	humo
糟	zcmo
棚	pgmo
梢	ucmo
槽	ccmo
椿	iymo
間	jmmo
闇	anmo
楯	uymo
楯	dymo
櫓	lumo
材	cdmp
梯	timp
彬	bbmp
杉	ujmp
杉	uamp
閉	bimp
楊	yhmp
益	yimq
粗	cumq
植	vimq
楚	iumr
集	jimr
核	humr
核	hemr
閃	ujmr
松	ssms
桧	hvms
桧	gvms
罵	mams
杜	dumt
桂	gvmt
樫	jmmt
料	lnmu
楠	njmu
杵	iumu
梓	zimu
樟	vhmu
柘	vemu
粋	tvmu
粋	cvmu
概	gdmv
柴	idmv
枕	vfmv
札	vamv
杷	pamv
柁	tomv
柁	domv
枇	pimv
馳	iimv
椀	wjmv
盤	pjmv
柱	vumw
栓	urmw
閏	rymw
駐	vumw
駿	jymw
稜	lkmw
稜	lgmw
禁	jbmx
栖	ximx
栖	qimx
枢	uumx
椋	llmx
駁	bomx
駆	qumx
悶	mfmx
標	bnmx
板	bjmy
枝	vimy
椴	drmy
李	limz
孟	mgmz
槌	ivmz
嬬	runa
鴨	yana
嬰	yknb
鵜	tinb
特	tenc
妖	ycnd
婆	pond
姿	zind
姻	ybnd
鴛	yrnd
鶴	hend
犠	xind
先	xmne
島	dcne
姓	xknf
牲	ugnf
妨	fhnf
鳥	nnnh
鳥	dnnh
婦	funj
鳩	jqnj
如	runk
始	uink
告	gcnk
姑	gunk
嬉	xink
嫡	dink
姶	yank
姶	eenk
鳴	mknk
鴎	ounk
甥	ugnl
媒	mwnm
娘	nlnn
妹	mwnn
嫁	jxnn
嫌	xmnn
娠	ufnn
姦	jmnn
鵠	hunn
婚	hyno
婿	xuno
娼	ihno
物	wunp
妙	mnnp
鴇	bcnp
姐	jpnq
鳶	yrnq
鵡	wunq
娃	want
牡	munt
姪	vint
嫉	jinu
妊	rfnu
妃	fwnv
姥	lcnv
娩	mmnv
牝	pbnv
鶏	jinv
鷲	jqnw
奴	nuny
妓	jiny
媛	yrny
嬢	nlny
好	hcnz
鷺	lunz
量	lloa
背	bwoa
睡	uvoa
替	tioa
胆	djoa
瞬	uyoa
昨	zooa
旦	djoa
督	duoa
瞳	tsoa
腫	vsoa
臓	zhoa
題	tioa
顕	xmoa
昇	ugoa
貝	bwob
肘	vzoc
昇	ugoc
時	uioc
暴	bcod
膝	xiod
朕	vfod
膜	mood
晦	hvod
眺	tnod
曝	bcod
腺	xmod
脚	jnoe
脱	tooe
昂	ahoe
見	jmoe
暁	xnoe
星	xkof
曜	ycof
肪	fhof
晃	hlog
腔	qlog
暫	zjoi
肌	jioj
肺	fwoj
胸	xsok
昭	vcok
胎	tdok
膳	ujok
胴	dsok
脳	ncok
腎	ufok
肋	lwol
肋	leol
勝	ugol
騰	tgom
