#level1
擦	fxca
捺	fxna
捻	fxnm
表	fybn
技	fyji
投	fytz
援	fyyr
授	fyuz
搬	fybj
撮	fyzo
撮	fyco
抜	fybo
抜	fyba
捜	fysz
挺	fztk
捉	fzvo
或	gaho
引	gayb
羽	gayu
序	gaxu
庸	gays
項	gaxl
弔	gadn
弾	gatj
彊	gajl
府	gcfu
戒	gcjp
底	gddi
弱	gdro
丸	gdwj
勺	gduc
庁	gdtk
廊	gelh
廓	geko
耀	gfyc
雛	gfiu
魔	ggmo
巧	ggqn
乙	ggyi
弧	gghu
庶	ghuu
輝	gihv
庫	giku
強	giql
強	gijl
席	gjxi
司	gksi
句	gkju
句	gkgz
唐	gkth
店	gkdm
功	glgs
麻	gmma
床	gmil
鞠	gmju
威	gnww
康	gnkh
鞭	gnbm
魅	gnmw
廉	gnlm
鞍	gnan
庚	gngg
鷹	gnyk
張	gnvh
鞘	gouc
鞘	goqn
旬	goxy
廟	gomn
力	gpli
刀	gpdc
乃	gpnd
勿	gpwu
戊	gpwu
腐	grfu
骸	grhd
勾	gsgz
弘	gshs
弦	gsxm
広	gsgl
座	gtzo
庄	gtvl
摩	gumo
磨	gumo
魁	gukv
戎	gurs
成	gvig
包	gvbc
鹿	gvlu
靴	gvxt
庇	gvbi
弛	gvii
庵	gvan
庖	gvpc
廃	gvfw
慶	gwqk
弥	gxmi
戚	gxqi
応	gxyk
度	gydu
度	gydo
庭	gztk
髄	gzsv
点	hadm
虚	haxu
虐	hant
扉	hafw
肇	havc
顧	hagu
黙	hamo
煩	hafj
種	havs
種	hais
積	hbji
燕	hcyj
烈	hdlp
移	hdyi
灯	hddg
爆	hdbc
灼	hdvo
虞	hdyu
黍	hduu
戻	hdlw
戻	hdli
煉	hdlm
燈	hddg
税	heuv
焼	heyc
焼	heuc
禿	hetu
房	hffh
雇	hfgu
稚	hfvi
戯	hgxi
秋	hhqq
炎	hhyj
燃	hhrj
炉	hhlu
黒	hhhw
燭	hivu
虎	hjhu
稀	hjxi
和	hkhe
和	hkho
和	hkhu
稿	hkgc
熔	hkrs
虜	hllu
焚	hmff
煤	hmmw
燥	hmzc
燦	hmcj
委	hnww
秩	hnvi
稼	hnjx
照	hovc
香	hoxl
肩	hojm
稽	hoji
膚	hofu
稲	hodc
然	hprj
秘	hpmi
秘	hpbi
秀	hpxq
穆	hpmu
秒	hpmn
彪	hpbn
勲	hpxy
勲	hpxy
租	hqzu
煎	hqjm
炊	hqiv
焦	hrjn
黛	hrdd
私	hssi
熊	hsxs
煮	htvu
煙	htyj
熱	htre
畑	httm
科	huke
秤	huig
稗	hubd
程	hwig
熟	hwuz
熟	hwuu
烹	hwpg
称	hxig
称	hxif
稔	hxrf
慮	hxlv
穂	hxsv
穏	hxwf
扇	hyuj
煽	hyuj
穣	hyrh
穫	hyho
季	hzji
蝉	iaij
厘	iali
蝋	iala
軸	iavz
輩	iabw
願	iayr
贋	ibyj
辱	icru
厨	iciu
輪	icly
蛾	idee
蟻	idyi
輔	idfu
輸	iduu
輯	ieji
雁	ifyj
蜂	iffg
較	ifjn
虹	ighs
載	igzd
轟	iihs
蟹	ijxp
軌	ijgv
斬	ijvj
唇	ikiy
蜘	ikvi
蛤	ikha
蛤	ikge
轄	ikxx
励	illi
蝶	imdp
辰	inif
蛸	ioxn
暦	ioli
蛎	ipli
軟	iqrr
厭	iqyj
螺	islo
転	isvr
齢	islk
蛙	itwa
蛭	itvi
軽	itqk
圧	itya
軒	iuxr
蛇	ivue
厄	ivee
厩	ivjq
虻	ivmg
歴	ivli
砲	ivpc
蚊	iwwf
轍	iwve
廠	iwih
原	ixyr
蝦	iyxx
厚	izhz
釧	jair
鉢	jabo
錘	jaiv
鍾	javs
鐘	javs
鎖	jbso
鎮	jbvf
鋳	jcvu
凡	jdfj
帆	jdfj
夙	jdsu
釘	jddk
釣	jddn
銚	jdyc
銚	jdtn
銚	jddn
鋪	jdpu
録	jdlu
鎧	jdkd
鐙	jddg
銃	jeis
銑	jexm
銑	jexi
鋼	jegj
鏡	jejk
鋒	jffg
錐	jfvv
雑	jfza
幌	jghl
銭	jgqm
鍔	jgee
鍬	jhqn
鳳	jhfg
触	jiiu
風	jifg
錦	jjjb
帖	jktp
覧	jklj
釦	jkkz
鈷	jkgu
鉛	jkqm
銅	jkts
銘	jkmk
鋸	jkju
鋸	jkju
鍋	jkgo
鏑	jkdi
鋤	jliu
鑑	jmjm
解	jnjp
解	jnxp
